| PID   | Parent | Name                                 | State      | Memory     | # Threads | Open Files |
|-------|--------|--------------------------------------|------------|------------|-----------|------------|
| 1     | 0      | systemd                              | S          | 2.0      M | 1         | 101        |
| 2     | 0      | kthreadd                             | S          | 0.0      M | 1         | 0          |
| 3     | 2      | rcu_gp                               | I          | 0.0      M | 1         | 0          |
| 4     | 2      | rcu_par_gp                           | I          | 0.0      M | 1         | 0          |
| 6     | 2      | kworker/0:0H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 8     | 2      | mm_percpu_wq                         | I          | 0.0      M | 1         | 0          |
| 9     | 2      | ksoftirqd/0                          | S          | 0.0      M | 1         | 0          |
| 10    | 2      | rcu_preempt                          | I          | 0.0      M | 1         | 0          |
| 11    | 2      | rcu_sched                            | I          | 0.0      M | 1         | 0          |
| 12    | 2      | rcu_bh                               | I          | 0.0      M | 1         | 0          |
| 13    | 2      | rcuc/0                               | S          | 0.0      M | 1         | 0          |
| 14    | 2      | rcub/0                               | S          | 0.0      M | 1         | 0          |
| 15    | 2      | migration/0                          | S          | 0.0      M | 1         | 0          |
| 16    | 2      | idle_inject/0                        | S          | 0.0      M | 1         | 0          |
| 18    | 2      | cpuhp/0                              | S          | 0.0      M | 1         | 0          |
| 19    | 2      | cpuhp/1                              | S          | 0.0      M | 1         | 0          |
| 20    | 2      | idle_inject/1                        | S          | 0.0      M | 1         | 0          |
| 21    | 2      | migration/1                          | S          | 0.0      M | 1         | 0          |
| 22    | 2      | rcuc/1                               | S          | 0.0      M | 1         | 0          |
| 23    | 2      | ksoftirqd/1                          | S          | 0.0      M | 1         | 0          |
| 25    | 2      | kworker/1:0H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 26    | 2      | cpuhp/2                              | S          | 0.0      M | 1         | 0          |
| 27    | 2      | idle_inject/2                        | S          | 0.0      M | 1         | 0          |
| 28    | 2      | migration/2                          | S          | 0.0      M | 1         | 0          |
| 29    | 2      | rcuc/2                               | S          | 0.0      M | 1         | 0          |
| 30    | 2      | ksoftirqd/2                          | S          | 0.0      M | 1         | 0          |
| 32    | 2      | kworker/2:0H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 33    | 2      | cpuhp/3                              | S          | 0.0      M | 1         | 0          |
| 34    | 2      | idle_inject/3                        | S          | 0.0      M | 1         | 0          |
| 35    | 2      | migration/3                          | S          | 0.0      M | 1         | 0          |
| 36    | 2      | rcuc/3                               | S          | 0.0      M | 1         | 0          |
| 37    | 2      | ksoftirqd/3                          | S          | 0.0      M | 1         | 0          |
| 39    | 2      | kworker/3:0H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 40    | 2      | cpuhp/4                              | S          | 0.0      M | 1         | 0          |
| 41    | 2      | idle_inject/4                        | S          | 0.0      M | 1         | 0          |
| 42    | 2      | migration/4                          | S          | 0.0      M | 1         | 0          |
| 43    | 2      | rcuc/4                               | S          | 0.0      M | 1         | 0          |
| 44    | 2      | ksoftirqd/4                          | S          | 0.0      M | 1         | 0          |
| 46    | 2      | kworker/4:0H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 47    | 2      | cpuhp/5                              | S          | 0.0      M | 1         | 0          |
| 48    | 2      | idle_inject/5                        | S          | 0.0      M | 1         | 0          |
| 49    | 2      | migration/5                          | S          | 0.0      M | 1         | 0          |
